model,country,mean_js_similarity,mean_total_variation,questions_used
checkpoints/llama3.1-8b-soft-panel,Bosnia Herzegovina,0.46175255336453885,0.6402437567204414,115
checkpoints/llama3.1-8b-soft-panel,Austria,0.46071252528632317,0.6477395268152496,115
checkpoints/llama3.1-8b-soft-panel,Latvia,0.45960483343778613,0.6450775619595795,116
checkpoints/llama3.1-8b-soft-panel,Great Britain,0.4585951633538279,0.6453539264420156,199
checkpoints/llama3.1-8b-soft-panel,Maldives,0.4578423426945882,0.6464797265157699,199
checkpoints/llama3.1-8b-soft-panel,Northern Ireland,0.45639767379894386,0.6457795236515156,198
checkpoints/llama3.1-8b-soft-panel,Tajikistan,0.4531457099776391,0.6345385999360169,190
checkpoints/llama3.1-8b-soft-panel,Slovenia,0.45264986558801723,0.6580808768287166,115
checkpoints/llama3.1-8b-soft-panel,Myanmar,0.4522668870415989,0.6394191476498203,196
checkpoints/llama3.1-8b-soft-panel,Portugal,0.45114654632794565,0.653400321794179,115
checkpoints/llama3.1-8b-soft-panel,Hong Kong SAR,0.44798717842220487,0.6553357072246464,199
checkpoints/llama3.1-8b-soft-panel,Finland,0.4478979658093694,0.6653638958380457,115
checkpoints/llama3.1-8b-soft-panel,Mongolia,0.447534143846286,0.6474118356906146,199
checkpoints/llama3.1-8b-soft-panel,Tanzania (Non-national sample),0.44510501310535044,0.669319954192316,1
checkpoints/llama3.1-8b-soft-panel,Switzerland,0.44474463769400907,0.6709833918664012,115
checkpoints/llama3.1-8b-soft-panel,Denmark,0.4438646415685797,0.667483095528329,175
checkpoints/llama3.1-8b-soft-panel,Azerbaijan,0.442301803682416,0.6668863988786438,115
checkpoints/llama3.1-8b-soft-panel,Iceland,0.43567411912150267,0.6825233528361333,114
checkpoints/llama3.1-8b-soft-panel,Macau SAR,0.43474544827695094,0.6709275992038886,198
checkpoints/llama3.1-8b-soft-panel,Angola,0.43315167728864334,0.7211197331310228,2
checkpoints/llama3.1-8b-soft-panel,Taiwan ROC,0.43203649118185433,0.669612415014891,199
checkpoints/llama3.1-8b-soft-panel,Norway,0.4316054889743711,0.6830301738096533,115
checkpoints/llama3.1-8b-soft-panel,South Korea,0.4123576353446114,0.6949945237982202,199
checkpoints/llama3.1-8b-hard-panel,Poland (Non-national sample),0.7438524964270491,0.3134498477675087,8
checkpoints/llama3.1-8b-hard-panel,Russia (Non-national sample),0.6994803813449813,0.380738891044129,22
checkpoints/llama3.1-8b-hard-panel,India (Old national sample),0.6978266585298638,0.364454766320854,83
checkpoints/llama3.1-8b-hard-panel,Nigeria (Non-national sample),0.6737192927224124,0.40781300607259674,219
checkpoints/llama3.1-8b-hard-panel,Egypt (Non-national sample),0.6725202197773944,0.40839460593746546,55
checkpoints/llama3.1-8b-hard-panel,China (Non-national sample),0.6718440070260405,0.396373390110545,226
checkpoints/llama3.1-8b-hard-panel,India (Non-national sample),0.6667277151887406,0.41320411669640306,252
checkpoints/llama3.1-8b-hard-panel,Venezuela (Non-national sample),0.6570618342735628,0.42371065070566466,125
checkpoints/llama3.1-8b-hard-panel,Bolivia (Non-national sample),0.6529251126544473,0.4242982532708826,125
checkpoints/llama3.1-8b-hard-panel,Pakistan (Non-national sample),0.6497074896644796,0.43839621049901406,24
checkpoints/llama3.1-8b-hard-panel,Brazil (Non-national sample),0.6491299499358079,0.42793134281221257,185
checkpoints/llama3.1-8b-hard-panel,Ethiopia (Non-national sample),0.642640434877702,0.42795383035096324,75
checkpoints/llama3.1-8b-hard-panel,Czech Rep.,0.6417481939881906,0.4357161283233254,239
