clause_id,model,win_share
27,meta-llama/Llama-3.1-8B,0.10452380952380952
28,checkpoints/llama3.1-8b-adversary-hard,0.13
28,checkpoints/llama3.1-8b-adversary-soft,0.17952380952380953
28,checkpoints/llama3.1-8b-full-prism,0.1919047619047619
28,checkpoints/llama3.1-8b-hard-panel,0.16476190476190475
28,checkpoints/llama3.1-8b-soft-panel,0.19904761904761906
28,checkpoints/llama3.1-8b-us-rep,0.09404761904761905
28,meta-llama/Llama-3.1-8B,0.04071428571428572
29,checkpoints/llama3.1-8b-adversary-hard,0.16095238095238096
29,checkpoints/llama3.1-8b-adversary-soft,0.1269047619047619
29,checkpoints/llama3.1-8b-full-prism,0.11071428571428571
29,checkpoints/llama3.1-8b-hard-panel,0.15761904761904763
29,checkpoints/llama3.1-8b-soft-panel,0.1330952380952381
29,checkpoints/llama3.1-8b-us-rep,0.15880952380952382
29,meta-llama/Llama-3.1-8B,0.1519047619047619
30,checkpoints/llama3.1-8b-adversary-hard,0.16285714285714287
30,checkpoints/llama3.1-8b-adversary-soft,0.10142857142857142
30,checkpoints/llama3.1-8b-full-prism,0.11952380952380952
30,checkpoints/llama3.1-8b-hard-panel,0.14333333333333334
30,checkpoints/llama3.1-8b-soft-panel,0.09309523809523809
30,checkpoints/llama3.1-8b-us-rep,0.1626190476190476
30,meta-llama/Llama-3.1-8B,0.21714285714285714
31,checkpoints/llama3.1-8b-adversary-hard,0.12142857142857143
31,checkpoints/llama3.1-8b-adversary-soft,0.14285714285714285
31,checkpoints/llama3.1-8b-full-prism,0.17166666666666666
31,checkpoints/llama3.1-8b-hard-panel,0.14809523809523809
31,checkpoints/llama3.1-8b-soft-panel,0.1792857142857143
31,checkpoints/llama3.1-8b-us-rep,0.12833333333333333
31,meta-llama/Llama-3.1-8B,0.10833333333333334
32,checkpoints/llama3.1-8b-adversary-hard,0.1530952380952381
32,checkpoints/llama3.1-8b-adversary-soft,0.14023809523809525
32,checkpoints/llama3.1-8b-full-prism,0.14595238095238094
32,checkpoints/llama3.1-8b-hard-panel,0.14809523809523809
32,checkpoints/llama3.1-8b-soft-panel,0.1680952380952381
32,checkpoints/llama3.1-8b-us-rep,0.12047619047619047
32,meta-llama/Llama-3.1-8B,0.12404761904761905
33,checkpoints/llama3.1-8b-adversary-hard,0.14333333333333334
33,checkpoints/llama3.1-8b-adversary-soft,0.16095238095238096
33,checkpoints/llama3.1-8b-full-prism,0.1957142857142857
33,checkpoints/llama3.1-8b-hard-panel,0.13690476190476192
33,checkpoints/llama3.1-8b-soft-panel,0.1692857142857143
33,checkpoints/llama3.1-8b-us-rep,0.12666666666666668
33,meta-llama/Llama-3.1-8B,0.06714285714285714
34,checkpoints/llama3.1-8b-adversary-hard,0.12261904761904761
34,checkpoints/llama3.1-8b-adversary-soft,0.13976190476190475
34,checkpoints/llama3.1-8b-full-prism,0.18142857142857144
34,checkpoints/llama3.1-8b-hard-panel,0.12738095238095237
34,checkpoints/llama3.1-8b-soft-panel,0.19738095238095238
34,checkpoints/llama3.1-8b-us-rep,0.1180952380952381
34,meta-llama/Llama-3.1-8B,0.11333333333333333
35,checkpoints/llama3.1-8b-adversary-hard,0.08071428571428571
35,checkpoints/llama3.1-8b-adversary-soft,0.17642857142857143
35,checkpoints/llama3.1-8b-full-prism,0.18785714285714286
35,checkpoints/llama3.1-8b-hard-panel,0.16476190476190475
35,checkpoints/llama3.1-8b-soft-panel,0.2007142857142857
35,checkpoints/llama3.1-8b-us-rep,0.1169047619047619
35,meta-llama/Llama-3.1-8B,0.07261904761904762
36,checkpoints/llama3.1-8b-adversary-hard,0.14214285714285715
36,checkpoints/llama3.1-8b-adversary-soft,0.14285714285714285
36,checkpoints/llama3.1-8b-full-prism,0.1707142857142857
36,checkpoints/llama3.1-8b-hard-panel,0.1442857142857143
36,checkpoints/llama3.1-8b-soft-panel,0.14214285714285715
36,checkpoints/llama3.1-8b-us-rep,0.16690476190476192
36,meta-llama/Llama-3.1-8B,0.09095238095238095
37,checkpoints/llama3.1-8b-adversary-hard,0.2123809523809524
37,checkpoints/llama3.1-8b-adversary-soft,0.13642857142857143
37,checkpoints/llama3.1-8b-full-prism,0.13
37,checkpoints/llama3.1-8b-hard-panel,0.16166666666666665
37,checkpoints/llama3.1-8b-soft-panel,0.12428571428571429
37,checkpoints/llama3.1-8b-us-rep,0.13357142857142856
37,meta-llama/Llama-3.1-8B,0.10166666666666667
38,checkpoints/llama3.1-8b-adversary-hard,0.11928571428571429
38,checkpoints/llama3.1-8b-adversary-soft,0.15261904761904763
38,checkpoints/llama3.1-8b-full-prism,0.1676190476190476
38,checkpoints/llama3.1-8b-hard-panel,0.1519047619047619
38,checkpoints/llama3.1-8b-soft-panel,0.1773809523809524
38,checkpoints/llama3.1-8b-us-rep,0.13714285714285715
38,meta-llama/Llama-3.1-8B,0.09404761904761905
39,checkpoints/llama3.1-8b-adversary-hard,0.09904761904761905
39,checkpoints/llama3.1-8b-adversary-soft,0.1661904761904762
39,checkpoints/llama3.1-8b-full-prism,0.18166666666666667
39,checkpoints/llama3.1-8b-hard-panel,0.15071428571428572
39,checkpoints/llama3.1-8b-soft-panel,0.2088095238095238
39,checkpoints/llama3.1-8b-us-rep,0.10119047619047619
39,meta-llama/Llama-3.1-8B,0.09238095238095238
40,checkpoints/llama3.1-8b-adversary-hard,0.1492857142857143
40,checkpoints/llama3.1-8b-adversary-soft,0.11190476190476191
40,checkpoints/llama3.1-8b-full-prism,0.1069047619047619
40,checkpoints/llama3.1-8b-hard-panel,0.18261904761904763
40,checkpoints/llama3.1-8b-soft-panel,0.11642857142857142
40,checkpoints/llama3.1-8b-us-rep,0.1419047619047619
40,meta-llama/Llama-3.1-8B,0.19095238095238096
41,checkpoints/llama3.1-8b-adversary-hard,0.15333333333333332
41,checkpoints/llama3.1-8b-adversary-soft,0.08333333333333333
41,checkpoints/llama3.1-8b-full-prism,0.11404761904761905
41,checkpoints/llama3.1-8b-hard-panel,0.19738095238095238
41,checkpoints/llama3.1-8b-soft-panel,0.08904761904761904
